density,retention_amanous,retention_amanous_sd,retention_null,retention_null_sd,gap,t,p,cohens_d
10,0.9253520095419784,0.01954202850961182,0.820958305552615,0.030216232379826586,0.10439370398936343,18.347810491754274,8.858613047826357e-28,4.10269514978464
15,0.9009150969887486,0.024668270112002646,0.7522639392328803,0.028148074617880745,0.14865115775586835,25.119118114974988,9.529482025952845e-39,5.6168055639930445
20,0.87260825092436,0.02735912875944741,0.6869080329255883,0.02787605454540344,0.18570021799877168,30.069249569979988,1.1973514344537826e-44,6.7236886070881585
25,0.8570517278625143,0.027861109693299323,0.6349112639756729,0.027280516492084152,0.2221404638868414,36.030395225738395,2.3154791202824943e-50,8.056641298093492
28,0.7809271326529942,0.026371758784002206,0.6068730036745558,0.028921803395466603,0.17405412897843842,28.125055945961215,2.2886196482372113e-42,6.288953696615392
30,0.7367998212093265,0.02627276279570648,0.5797322483328019,0.028245192024639626,0.15706757287652462,25.75181960390722,9.20003035914366e-40,5.758281917864824
40,0.5923145129454962,0.018165249252815742,0.5051587631038046,0.025995934569458163,0.08715574984169161,17.38112179927883,4.715292766945197e-27,3.886536986839092
50,0.5030512708361247,0.016600687432125116,0.4324424390956006,0.024792787578175633,0.07060883174052407,14.966813181886826,3.191104827317265e-23,3.346681168123886
60,0.4304535273246568,0.0160456102282204,0.38420209108861425,0.024875225120025053,0.046251436236042553,9.881982265552615,1.0910646955968974e-14,2.2096784098223026
80,0.3328277214361117,0.010807966799198165,0.29881291595582127,0.02171341780896873,0.034014805480290455,8.869603903775543,2.4464154404115293e-12,1.9833037262339612
100,0.28246360364318396,0.008879434556965899,0.24149509249340073,0.0162584433492879,0.04096851114978323,13.986799372288775,1.3432952423704784e-20,3.1275434184089086
120,0.274530202081191,0.00880929800110127,0.20761277518507146,0.01301764156859433,0.06691742689611954,26.925614073319693,3.5923346516139654e-38,6.020750340386784
150,0.26794286396573064,0.009652749284866822,0.1631653486546681,0.011796608665718382,0.10477751531106252,43.47506725223554,5.6780998122747316e-55,9.721320570237365
200,0.24762808128851743,0.008088510611003229,0.12241919902963302,0.009715373256435698,0.1252088822588844,62.6411593330959,7.414615621627572e-67,14.006989045819783
