density,retention_amanous,retention_amanous_sd,retention_null,events_per_window
10,0.9315413138082154,0.019393568457487322,0.8123061536257319,0.4
15,0.9026566004958587,0.02288334955346638,0.7552677694555866,0.6
20,0.8737544300753377,0.023485899658124525,0.6938641257976332,0.8
25,0.8601044658784153,0.030495529968005773,0.6246751009952624,1.0
28,0.7814880248583645,0.021786081379641695,0.6019524383890852,1.12
30,0.7349984707939423,0.0272851671502567,0.5784203379264435,1.2
40,0.5936200101398131,0.01856740537435437,0.4989534852578711,1.6
50,0.5068487771702865,0.016720946475011433,0.435207450528554,2.0
60,0.4348018373274722,0.017527600350662458,0.37578699101451557,2.4
80,0.33253495995883875,0.012826498725469567,0.29790470958762566,3.2
100,0.2834062807640175,0.008899936152195578,0.24459478794070533,4.0
120,0.2742623218291664,0.00868092079316948,0.20254540979204902,4.8
150,0.2669732908823868,0.010862728520378095,0.16821347745343174,6.0
200,0.24816351438168666,0.009564263513287223,0.12445571187531532,8.0
