onset_time,pitch,velocity_xp,velocity,duration,voice_id,trigger_time
0.0,62,427.5920316416905,53,0.042,100,-0.021710654936461387
0.0,86,425.64160979808287,53,0.0315,101,-0.021710654936461387
0.0,50,487.5920316416905,61,0.042,0,-0.020459433040078204
0.0,74,485.64160979808287,61,0.0315,1,-0.020459433040078204
0.03,88,451.3664784170471,56,0.0315,101,0.008758553274682303
0.03,76,511.3664784170471,64,0.0315,1,0.01000977517106549
0.04,64,458.69407502448223,57,0.042,100,0.018914956011730204
0.04,52,518.6940750244822,65,0.042,0,0.02016617790811339
0.06,86,531.4441548806143,66,0.0315,101,0.04032258064516128
0.06,74,591.4441548806143,74,0.0315,1,0.041573802541544476
0.08,62,531.7938896181685,66,0.042,100,0.060322580645161286
0.08,50,591.7938896181685,74,0.042,0,0.06157380254154448
0.09,90,538.7932551484436,67,0.0315,101,0.07047898338220918
0.09,78,598.7932551484436,75,0.0315,1,0.07173020527859238
0.12,66,517.234918788241,65,0.042,100,0.10016617790811339
0.12,91,559.5736075530056,70,0.063,101,0.10094819159335287
0.12,54,577.234918788241,72,0.042,0,0.10126099706744868
0.12,79,619.5736075530056,77,0.063,1,0.10204301075268817
0.16,67,540.2798627795271,68,0.084,100,0.14063538611925708
0.16,55,600.2798627795271,75,0.084,0,0.14173020527859237
0.18,90,460.62673910286253,58,0.0315,101,0.1590713587487781
0.18,78,520.6267391028625,65,0.0315,1,0.16016617790811338
0.21,96,402.222277852689,50,0.096,101,0.1878201368523949
0.21,84,462.222277852689,58,0.096,1,0.1890713587487781
0.24,66,464.47802941768543,58,0.042,100,0.2190713587487781
0.24,54,524.4780294176854,66,0.042,0,0.22032258064516128
0.27999999999999997,72,407.5316075224832,51,0.128,100,0.2579765395894428
0.27999999999999997,60,467.5316075224832,58,0.128,0,0.25907135874877807
0.38999999999999996,86,433.12819415900594,54,0.0315,101,0.3684457478005865
0.38999999999999996,74,493.12819415900594,62,0.0315,1,0.36969696969696964
0.41999999999999993,84,471.6861991257256,59,0.0315,101,0.39922776148582595
0.41999999999999993,72,531.6861991257256,66,0.0315,1,0.40032258064516124
0.44999999999999996,86,532.4837349236527,67,0.0315,101,0.43047898338220913
0.44999999999999996,74,592.4837349236527,74,0.0315,1,0.4315738025415444
0.48,83,530.6815178150854,66,0.0315,101,0.4603225806451613
0.48,71,590.6815178150854,74,0.0315,1,0.46157380254154445
0.51,81,538.0742330985926,67,0.063,101,0.4904789833822092
0.51,69,598.0742330985926,75,0.063,1,0.4917302052785924
0.5199999999999999,62,470.03727660827224,59,0.042,100,0.4992277614858259
0.5199999999999999,50,530.0372766082722,66,0.042,0,0.5003225806451612
0.5599999999999999,64,464.3832791675095,58,0.042,100,0.5390713587487781
0.5599999999999999,52,524.3832791675095,66,0.042,0,0.5403225806451613
0.5700000000000001,83,474.7277765216612,59,0.0315,101,0.5492277614858261
