epsilon_ms,count_3_4,rate_3_4_per_s,mean_gap_3_4_s,std_gap_3_4_s,count_epi,rate_epi_per_s,mean_gap_epi_s,std_gap_epi_s,duration_sec
1,21,0.35,3.0,0.0,2,0.03333333333333333,44.881493,0.0,60.0
5,21,0.35,3.0,0.0,5,0.08333333333333333,11.22037325,4.199778764131114,60.0
10,21,0.35,3.0,0.0,10,0.16666666666666666,6.295144111111111,2.1858587948391484,60.0
15,21,0.35,3.0,0.0,15,0.25,4.046878357142857,1.1568595826880148,60.0
20,21,0.35,3.0,0.0,20,0.3333333333333333,2.981910368421053,1.0829258388873226,60.0
25,21,0.35,3.0,0.0,26,0.43333333333333335,2.36868456,0.17030776959142688,60.0
30,21,0.35,3.0,0.0,32,0.5333333333333333,1.910229483870968,0.7775652179941659,60.0
35,21,0.35,3.0,0.0,37,0.6166666666666667,1.6449198333333335,0.8635330838936083,60.0
40,21,0.35,3.0,0.0,42,0.7,1.4443198536585367,0.8874740615748296,60.0
45,21,0.35,3.0,0.0,48,0.8,1.2599385957446807,0.8689984662864962,60.0
50,21,0.35,3.0,0.0,53,0.8833333333333333,1.1387906538461539,0.8347583945268205,60.0
55,21,0.35,3.0,0.0,57,0.95,1.0574484642857143,0.8007381733004899,60.0
60,21,0.35,3.0,0.0,62,1.0333333333333334,0.9707723606557377,0.753213132786987,60.0
65,21,0.35,3.0,0.0,67,1.1166666666666667,0.897229,0.714647061870827,60.0
70,21,0.35,3.0,0.0,71,1.1833333333333333,0.8459587714285715,0.6818036380953967,60.0
75,21,0.35,3.0,0.0,77,1.2833333333333334,0.7836869605263157,0.636827227027027,60.0
80,21,0.35,3.0,0.0,83,1.3833333333333333,0.7263440121951219,0.5836339478575943,60.0
85,21,0.35,3.0,0.0,88,1.4666666666666666,0.6846001034482758,0.5378032573140784,60.0
90,21,0.35,3.0,0.0,93,1.55,0.6473935760869566,0.5032694455493266,60.0
95,21,0.35,3.0,0.0,99,1.65,0.6077572346938775,0.4603631947657794,60.0
100,21,0.35,3.0,0.0,104,1.7333333333333334,0.5782544563106796,0.42322481984261157,60.0
