trial,jitter_A_raw_ms,jitter_B_hal_ms,jitter_C_ideal_ms
0,3.514954,0.946588,0.0
1,3.5081,0.92812,0.0
2,3.721894,0.950525,0.0
3,3.594163,0.944881,0.0
4,3.678262,0.977423,0.0
5,3.615485,0.969572,0.0
6,3.726502,0.926835,0.0
7,3.683641,0.925117,0.0
8,3.708565,0.955002,0.0
9,3.512064,0.939657,0.0
10,3.771789,0.919387,0.0
11,3.719126,0.971698,0.0
12,3.591257,0.921227,0.0
13,3.666911,0.980198,0.0
14,3.731204,0.932496,0.0
15,3.522417,0.958007,0.0
16,3.632902,0.951455,0.0
17,3.650689,0.974773,0.0
18,3.738843,0.949692,0.0
19,3.575028,0.940639,0.0
20,3.555326,0.961272,0.0
21,3.789157,0.943898,0.0
22,3.770083,0.937199,0.0
23,3.692359,0.940396,0.0
24,3.69132,0.9801,0.0
25,3.567437,0.936615,0.0
26,3.740276,0.920341,0.0
27,3.584609,0.940508,0.0
28,3.665429,0.946746,0.0
29,3.492021,0.891027,0.0
30,3.449412,0.919244,0.0
31,3.68719,0.938707,0.0
32,3.715572,0.937625,0.0
33,3.578886,0.946248,0.0
34,3.770233,0.934897,0.0
35,3.484046,0.874793,0.0
36,3.7015,0.935827,0.0
37,3.708824,0.914622,0.0
38,3.72877,0.922824,0.0
39,3.642471,0.941434,0.0
40,3.609449,0.909582,0.0
41,3.670977,0.926668,0.0
42,3.713977,0.937911,0.0
43,3.717682,0.979135,0.0
44,3.582021,0.932272,0.0
45,3.615556,0.940239,0.0
46,3.598333,0.922353,0.0
47,3.727167,0.958216,0.0
48,3.700311,0.987204,0.0
49,3.738142,0.922915,0.0
50,3.507665,0.955934,0.0
51,3.70708,0.910521,0.0
52,3.67791,0.927183,0.0
53,3.718502,0.914785,0.0
54,3.514211,0.884094,0.0
55,3.357832,0.90796,0.0
56,3.732094,0.969782,0.0
57,3.746682,0.937733,0.0
58,3.691124,0.904103,0.0
59,3.517238,0.905454,0.0
60,3.494671,0.910172,0.0
61,3.681743,0.96948,0.0
62,3.735158,0.926417,0.0
63,3.657172,0.952198,0.0
64,3.730489,0.940693,0.0
65,3.610418,0.917227,0.0
66,3.652063,0.911503,0.0
67,3.569118,0.913156,0.0
68,3.651835,0.977875,0.0
69,3.727944,0.951273,0.0
70,3.686938,0.929122,0.0
71,3.746985,0.907803,0.0
72,3.763633,0.947751,0.0
73,3.450025,0.911802,0.0
74,3.525813,0.919021,0.0
75,3.756688,0.948277,0.0
76,3.729391,0.960209,0.0
77,3.45045,0.871769,0.0
78,3.529113,0.872545,0.0
79,3.662342,0.948454,0.0
80,3.696269,0.923494,0.0
81,3.713474,0.898772,0.0
82,3.689392,0.964175,0.0
83,3.41979,0.881364,0.0
84,3.588035,0.929783,0.0
85,3.514095,0.918235,0.0
86,3.491044,0.901109,0.0
87,3.73809,0.927445,0.0
88,3.475815,0.919591,0.0
89,3.67759,0.918421,0.0
90,3.513456,0.94466,0.0
91,3.638571,0.976907,0.0
92,3.72575,0.95146,0.0
93,3.624249,0.946708,0.0
94,3.500024,0.921305,0.0
95,3.686531,0.923979,0.0
96,3.411576,0.948598,0.0
97,3.705644,0.963568,0.0
98,3.54165,0.881216,0.0
99,3.422428,0.890883,0.0
100,3.60354,0.913748,0.0
101,3.752318,0.962549,0.0
102,3.535723,0.935299,0.0
103,3.624709,1.017237,0.0
104,3.461143,0.892899,0.0
105,3.495658,0.929763,0.0
106,3.645605,0.934872,0.0
107,3.726485,0.951459,0.0
108,3.491981,0.915115,0.0
109,3.530864,0.931123,0.0
110,3.569737,0.911149,0.0
111,3.580578,0.950716,0.0
